snapshot_date,signal_type,title,heat_w,rank_desc,metric_desc,manju_count,notes,source_url,primary_tag_l1,secondary_tags_l2,is_title_disclosed
2026-03-06,榜单排名样本,风雪开局：我乱世称王,5017.0,Top3,DataEye红果漫剧热播榜Top3，热度5017W,1,DataEye红果漫剧热播榜Top3，热度5017W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-03-21,榜单排名样本,重生1985，他靠空间发家致富,5672.0,Top2,DataEye红果漫剧热播榜Top2，热度5672W,1,DataEye红果漫剧热播榜Top2，热度5672W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,穿越/重生,重生复仇,True
2026-03-21,榜单排名样本,风水天师,6982.0,Top1/蝉联3期,DataEye红果漫剧热播榜Top1，热度6982W,1,DataEye红果漫剧热播榜Top1，热度6982W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,神医/玄学,True
2026-03-21,榜单排名样本,万兽独尊,5542.0,Top3,DataEye红果漫剧热播榜Top3，热度5542W,1,DataEye红果漫剧热播榜Top3，热度5542W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-03-21,榜单排名样本,贾二虎的妖孽人生之皓男出狱,,Top5/AI仿真人漫剧,AI仿真人漫剧位列红果漫剧热播榜第五,1,AI仿真人漫剧位列红果漫剧热播榜第五,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-03-24,榜单排名样本,风水天师,6539.0,Top1/连续霸榜6天,DataEye红果漫剧热播榜Top1，热度6539W,1,DataEye红果漫剧热播榜Top1，热度6539W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,神医/玄学,True
2026-03-24,榜单排名样本,聚宝仙盆之杂灵根才是真BOSS,5776.0,Top3,DataEye红果漫剧热播榜Top3，热度5776W,1,DataEye红果漫剧热播榜Top3，热度5776W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-04-09,榜单排名样本,初心未改，逆袭不负韶华,5555.0,Top2,DataEye红果漫剧热播榜Top2，热度5555W,1,DataEye红果漫剧热播榜Top2，热度5555W,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html?vt=4,逆袭/爽文,,True
2026-04-09,榜单排名样本,团宠狗师妹，我的师门全是大妖,5480.0,Top3,DataEye红果漫剧热播榜Top3，热度5480W,1,DataEye红果漫剧热播榜Top3，热度5480W,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html?vt=4,奇幻/系统,萌宝,True
2026-04-09,榜单排名样本,菩提临世真人AI版,8658.0,Top1/超过真人榜Top1,DataEye红果漫剧热播榜Top1，热度8658W；超过同日红果真人短剧Top1热度7800W,1,DataEye红果漫剧热播榜Top1，热度8658W；超过同日红果真人短剧Top1热度7800W,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html?vt=4,奇幻/系统,,True
2026-05-25,播放峰值信号,未披露：一AI新剧,33000.0,日播3.3亿,公开摘要称一AI新剧日播3.3亿、断层领先；未披露具体剧名，且为播放量口径,1,公开摘要称一AI新剧日播3.3亿、断层领先；未披露具体剧名，且为播放量口径,https://www.thepaper.cn/newsDetail_forward_33226293,其他,,False
