snapshot_date,rank,rank_score,title,heat_w,primary_tag_l1,secondary_tags_l2,source_url,completeness
2025-12-06,1,3,家里家外2,12000.0,其他,,https://m.thepaper.cn/newsDetail_forward_32119743,full_top3
2025-12-06,2,2,天下第一纨绔,8729.0,古风/古代,,https://m.thepaper.cn/newsDetail_forward_32119743,full_top3
2025-12-06,3,1,她掌天命,6613.0,奇幻/系统,,https://m.thepaper.cn/newsDetail_forward_32119743,full_top3
2026-01-25,1,3,不完美应答,7330.0,其他,,https://m.thepaper.cn/newsDetail_forward_32460585,full_top3
2026-01-25,2,2,换巢鸾凤,6419.0,其他,,https://m.thepaper.cn/newsDetail_forward_32460585,full_top3
2026-01-25,3,1,夫人走的第三年,6355.0,豪门/总裁,霸总甜虐,https://m.thepaper.cn/newsDetail_forward_32460585,full_top3
2026-01-31,1,3,女相师,8890.0,其他,,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656,monthly_top1
2026-01-31,2,2,雪落时逢你,6530.0,其他,,https://www.msn.com/zh-cn/news/other/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%92%AD%E6%A6%9C%E7%83%AD%E5%BA%A6%E5%A4%A7%E6%B4%97%E7%89%8C-%E4%BA%AC%E5%A9%9A%E6%B5%93%E7%98%BE-%E4%BB%85%E7%AC%AC3-%E6%A6%9C%E9%A6%961-12%E4%BA%BF%E6%96%AD%E5%B1%82%E9%9C%B8%E6%A6%9C/ar-AA1X3vBu,partial_top3
2026-01-31,3,1,京婚浓瘾,,现代情感,,https://www.msn.com/zh-cn/news/other/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%92%AD%E6%A6%9C%E7%83%AD%E5%BA%A6%E5%A4%A7%E6%B4%97%E7%89%8C-%E4%BA%AC%E5%A9%9A%E6%B5%93%E7%98%BE-%E4%BB%85%E7%AC%AC3-%E6%A6%9C%E9%A6%961-12%E4%BA%BF%E6%96%AD%E5%B1%82%E9%9C%B8%E6%A6%9C/ar-AA1X3vBu,partial_top3
2026-02-21,1,3,十八岁太奶奶驾到，重整家族荣耀第四部,14000.0,家庭/亲情,,https://k.sina.cn/article_7879922982_1d5ae15260190a780c.html,full_top3
2026-02-21,2,2,一家三口在同班,9359.0,家庭/亲情,,https://k.sina.cn/article_7879922982_1d5ae15260190a780c.html,full_top3
2026-02-21,3,1,昼以继夜,9098.0,其他,,https://k.sina.cn/article_7879922982_1d5ae15260190a780c.html,full_top3
2026-03-30,1,3,豪门月嫂，一不小心成了全家白月光,10000.0,家庭/亲情,白月光/替身、豪门恩怨,https://baike.baidu.com/item/DataEye%E5%BE%AE%E7%9F%AD%E5%89%A7%E7%83%AD%E5%8A%9B%E6%A6%9C/67301055,partial
2026-04-09,1,3,人前不熟，人后上瘾,7800.0,现代情感,,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html,full_top3
2026-04-09,2,2,疯美人,7385.0,其他,,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html,full_top3
2026-04-09,3,1,"未婚妻与他人领证,我撤资离场",7258.0,现代情感,,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html,full_top3
2026-05-23,1,3,爱在久别重逢时,8188.0,现代情感,,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656,partial_top2
2026-05-23,2,2,沉乔未晚,7542.0,其他,,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656,partial_top2
