snapshot_date,primary_tag_l1,title_count,rank_score_sum,heat_value_sum,total_rank_score,rank_share,heat_share,title_count_share,rank_share_7d,heat_share_7d
2026-05-09,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-10,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-11,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-12,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-13,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-14,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-01,奇幻/系统,1,97,8701,490,0.19795918367346937,0.19772753096239062,0.2,0.19795918367346937,0.19772753096239062
2026-05-02,奇幻/系统,1,97,8702,490,0.19795918367346937,0.19772778913883207,0.2,0.19795918367346937,0.19772766005061135
2026-05-03,奇幻/系统,1,97,8703,490,0.19795918367346937,0.19772804725661705,0.2,0.19795918367346937,0.1977277891192799
2026-05-04,奇幻/系统,1,97,8704,490,0.19795918367346937,0.19772830531576557,0.2,0.19795918367346937,0.19772791816840132
2026-05-05,奇幻/系统,1,97,8705,490,0.19795918367346937,0.19772856331629757,0.2,0.19795918367346937,0.1977280471979806
2026-05-06,奇幻/系统,1,97,8706,490,0.19795918367346937,0.19772882125823302,0.2,0.19795918367346937,0.19772817620802266
2026-05-07,奇幻/系统,1,97,8707,490,0.19795918367346937,0.1977290791415919,0.2,0.19795918367346937,0.19772830519853254
2026-05-08,奇幻/系统,1,97,8708,490,0.19795918367346937,0.19750510319800407,0.2,0.19795918367346937,0.19769652980362018
2026-05-09,奇幻/系统,1,97,8709,490,0.19795918367346937,0.19750538609819707,0.2,0.19795918367346937,0.19766475794067231
2026-05-10,奇幻/系统,1,97,8710,490,0.19795918367346937,0.19750566893424037,0.2,0.19795918367346937,0.1976329896089042
2026-05-11,奇幻/系统,1,97,8711,490,0.19795918367346937,0.19750595170615576,0.2,0.19795918367346937,0.1976012248075314
2026-05-12,奇幻/系统,1,97,8712,490,0.19795918367346937,0.1975062344139651,0.2,0.19795918367346937,0.19756946353576962
2026-05-13,奇幻/系统,1,97,8713,490,0.19795918367346937,0.19750651705769012,0.2,0.19795918367346937,0.1975377057928349
2026-05-14,奇幻/系统,1,97,8714,490,0.19795918367346937,0.19750679963735268,0.2,0.19795918367346937,0.1975059515779436
2026-05-01,家庭/亲情,1,98,8801,490,0.2,0.2,0.2,0.2,0.2
2026-05-02,家庭/亲情,1,98,8802,490,0.2,0.2,0.2,0.2,0.2
2026-05-03,家庭/亲情,1,98,8803,490,0.2,0.2,0.2,0.2,0.2
2026-05-04,家庭/亲情,1,98,8804,490,0.2,0.2,0.2,0.2,0.2
2026-05-05,家庭/亲情,1,98,8805,490,0.2,0.2,0.2,0.2,0.2
2026-05-06,家庭/亲情,1,98,8806,490,0.2,0.2,0.2,0.2,0.2
2026-05-07,家庭/亲情,1,98,8807,490,0.2,0.2,0.2,0.2,0.2
2026-05-08,家庭/亲情,1,98,8808,490,0.2,0.19977319119981854,0.2,0.2,0.19996759874283124
2026-05-09,家庭/亲情,1,98,8809,490,0.2,0.19977321691801792,0.2,0.2,0.19993520115969093
2026-05-10,家庭/亲情,1,98,8810,490,0.2,0.19977324263038548,0.2,0.2,0.199902807249746
2026-05-11,家庭/亲情,1,98,8811,490,0.2,0.19977326833692324,0.2,0.2,0.19987041701216363
2026-05-12,家庭/亲情,1,98,8812,490,0.2,0.1997732940376332,0.2,0.2,0.1998380304461112
2026-05-13,家庭/亲情,1,98,8813,490,0.2,0.19977331973251727,0.2,0.2,0.19980564755075653
2026-05-14,家庭/亲情,1,98,8814,490,0.2,0.19977334542157751,0.2,0.2,0.19977326832526757
2026-05-01,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-02,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-03,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-04,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-05,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-06,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-07,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-08,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-09,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-10,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-11,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-12,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-13,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-14,现代情感,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-01,穿越/重生,1,99,8901,490,0.20204081632653062,0.20227246903760937,0.2,0.20204081632653062,0.20227246903760937
2026-05-02,穿越/重生,1,99,8902,490,0.20204081632653062,0.20227221086116792,0.2,0.20204081632653062,0.20227233994938865
2026-05-03,穿越/重生,1,99,8903,490,0.20204081632653062,0.20227195274338294,0.2,0.20204081632653062,0.2022722108807201
2026-05-04,穿越/重生,1,99,8904,490,0.20204081632653062,0.20227169468423445,0.2,0.20204081632653062,0.20227208183159867
2026-05-05,穿越/重生,1,99,8905,490,0.20204081632653062,0.20227143668370245,0.2,0.20204081632653062,0.20227195280201943
2026-05-06,穿越/重生,1,99,8906,490,0.20204081632653062,0.20227117874176698,0.2,0.20204081632653062,0.20227182379197736
2026-05-07,穿越/重生,1,99,8907,490,0.20204081632653062,0.2022709208584081,0.2,0.20204081632653062,0.20227169480146748
2026-05-08,穿越/重生,2,195,17566,490,0.3979591836734694,0.39841233839872986,0.4,0.23002915451895042,0.23029167613877036
2026-05-09,穿越/重生,2,195,17568,490,0.3979591836734694,0.3984125184261254,0.4,0.25801749271137026,0.25831172007662145
2026-05-10,穿越/重生,2,195,17570,490,0.3979591836734694,0.3984126984126984,0.4,0.2860058309037901,0.28633182660080936
2026-05-11,穿越/重生,2,195,17572,490,0.3979591836734694,0.3984128783584628,0.4,0.3139941690962099,0.3143519956971277
2026-05-12,穿越/重生,2,195,17574,490,0.3979591836734694,0.3984130582634323,0.4,0.3419825072886297,0.34237222735137485
2026-05-13,穿越/重生,2,195,17576,490,0.3979591836734694,0.39841323812762097,0.4,0.3699708454810496,0.3703925215493539
2026-05-14,穿越/重生,2,195,17578,490,0.3979591836734694,0.3984134179510426,0.4,0.3979591836734694,0.3984128782768733
2026-05-01,豪门/总裁,1,100,9001,490,0.20408163265306123,0.20454493807521873,0.2,0.20408163265306123,0.20454493807521873
2026-05-02,豪门/总裁,1,100,9002,490,0.20408163265306123,0.20454442172233583,0.2,0.20408163265306123,0.20454467989877728
2026-05-03,豪门/总裁,1,100,9003,490,0.20408163265306123,0.20454390548676588,0.2,0.20408163265306123,0.20454442176144014
2026-05-04,豪门/总裁,1,100,9004,490,0.20408163265306123,0.2045433893684689,0.2,0.20408163265306123,0.20454416366319733
2026-05-05,豪门/总裁,1,100,9005,490,0.20408163265306123,0.20454287336740487,0.2,0.20408163265306123,0.20454390560403884
2026-05-06,豪门/总裁,1,100,9006,490,0.20408163265306123,0.20454235748353394,0.2,0.20408163265306123,0.20454364758395469
2026-05-07,豪门/总裁,1,100,9007,490,0.20408163265306123,0.20454184171681616,0.2,0.20408163265306123,0.20454338960293492
2026-05-08,豪门/总裁,1,100,9008,490,0.20408163265306123,0.2043093672034475,0.2,0.20408163265306123,0.20450973662125332
2026-05-09,豪门/总裁,1,100,9009,490,0.20408163265306123,0.2043088785576596,0.2,0.20408163265306123,0.20447608759772812
2026-05-10,豪门/总裁,1,100,9010,490,0.20408163265306123,0.20430839002267573,0.2,0.20408163265306123,0.20444244253142954
2026-05-11,豪门/总裁,1,100,9011,490,0.20408163265306123,0.2043079015984582,0.2,0.20408163265306123,0.204408801421428
2026-05-12,豪门/总裁,1,100,9012,490,0.20408163265306123,0.2043074132849694,0.2,0.20408163265306123,0.20437516426679436
2026-05-13,豪门/总裁,1,100,9013,490,0.20408163265306123,0.2043069250821716,0.2,0.20408163265306123,0.20434153106659975
2026-05-14,豪门/总裁,1,100,9014,490,0.20408163265306123,0.2043064369900272,0.2,0.20408163265306123,0.2043079018199156
2026-05-01,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-02,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-03,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-04,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-05,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-06,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-07,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-08,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-09,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-10,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-11,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-12,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-13,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-14,逆袭/爽文,0,0,0,0,0.0,0.0,0.0,0.0,0.0
